Office,Floor,O-bdg,Lab,L-bdg,Status,GROUP,MEMBER,UNIQUE
330,3,Ecology,330,Ecology,Grad,AA,2,1
315,3,Ecology,,Ecology,Post-doc,M,1,2
411,4,Ecology,135,Snyder,Grad,DD,2,3
308,3,Ecology,230,Ecology,Faculty,B,1,4
416,4,Ecology,,,Staff,Da,1,5
403,4,Ecology,224,Snyder,Post-doc,HH,7,6
312,3,Ecology,180,Gortner,Faculty,C,1,7
504,5,Ecology,440,Ecology,Faculty,D,1,8
304,3,Ecology,,,Faculty,E,1,9
207,2,Ecology,530,Ecology,Grad,CC,4,10
100F,1,Ecology,230,Ecology,Grad,B,7,11
330,3,Ecology,330,Ecology,Grad,AA,3,12
303,3,Ecology,496,BioSci,Post-doc,BB,5,13
216,2,Ecology,240,Ecology,Faculty,G,1,14
215,2,Ecology,240,Ecology,Post-Doc,G,5,15
414,4,Ecology,430,Ecology,Faculty,H,1,16
202,2,Ecology,,,Faculty,J,1,17
211,2,Ecology,240,Ecology,Post-doc,G,6,18
510,5,Ecology,540,Ecology,Grad,Q,2,19
209,2,Ecology,240,Ecology,Gray,X,4,20
402,4,Ecology,230,Ecology,Faculty,K,1,21
413,4,Ecology,350,Ecology,Grad,A,2,22
403,4,Ecology,430,Ecology,Post-doc,L,4,23
,,,251,Cargill,Postdoc,Y,4,24
207,2,Ecology,,,Fellow,V,2,25
404,4,Ecology,430,Ecology,Faculty,L,1,26
509,5,Ecology,,,Grad,GG,2,27
211,2,Ecology,240,Ecology,Post-Doc,G,7,28
510,5,Ecology,540,Ecology,Post-doc,Q,4,29
,,,230,Ecology,Staff,EE,2,30
316,3,Ecology,340,Ecology,Faculty,O,2,31
213,2,Ecology,224,Snyder,Grad,HH,2,32
309,3,Ecology,180,Gortner,Grad,C,2,33
,1,Ecology,230,Ecology,Grad ,B,4,34
215,2,Ecology,374,Gortner,Grad,P,2,35
208,2,Ecology,374,Gortner,Faculty,P,1,36
405,4,Ecology,,Ecology,Grad,P,1,37
415,4,Ecology,430,Ecology,Post-doc,H,5,38
540,5,Ecology,540,Ecology,Staff,D,8,39
117,1,Ecology,230,Ecology,Grad ,B,3,40
502,5,Ecology,540,Ecology,Faculty,Q,1,41
117,1,Ecology,230,Ecology,Grad ,B,2,42
512,5,Ecology,,,Faculty,R,1,43
406,4,Ecology,224,Snyder,Post-doc,HH,8,44
